frequency_shift,S11_magnitude,Q_factor,phase_shift,label
0.1492,-14.91,19.9,45.0,5% kerosene
0.1501,-15.84,19.6,47.4,5% kerosene
0.1592,-20.38,25.1,47.8,15% kerosene
0.2362,-10.73,11.2,33.5,5% kerosene
0.1003,-20.81,26.7,48.3,20% turpentine
0.2494,-9.69,10.1,31.3,15% turpentine
0.162,-15.17,16.5,39.7,pure
0.113,-21.08,26.2,48.3,pure
0.0952,-21.83,29.9,49.9,15% kerosene
0.2365,-10.11,12.0,34.0,20% turpentine
0.2086,-13.92,18.0,39.5,10% kerosene
0.1226,-18.74,21.1,42.7,15% turpentine
0.1131,-18.46,22.3,46.6,20% turpentine
0.1811,-15.01,20.7,42.6,15% kerosene
0.2364,-11.17,12.0,32.8,pure
0.2443,-10.03,10.7,32.6,15% kerosene
0.2294,-11.71,13.0,32.9,15% kerosene
0.1258,-17.76,24.2,45.6,5% kerosene
0.1121,-21.7,27.2,48.2,10% turpentine
0.203,-14.01,14.1,36.1,20% kerosene
0.1419,-15.24,19.4,41.2,10% turpentine
0.2254,-11.17,13.5,38.4,20% kerosene
0.145,-19.58,24.5,47.5,pure
0.2244,-11.89,14.4,35.6,pure
0.2382,-10.11,11.0,35.7,5% kerosene
0.1589,-16.09,16.8,39.6,20% kerosene
0.1962,-13.0,16.2,40.1,15% turpentine
0.1488,-17.29,21.9,45.1,20% kerosene
0.2468,-9.67,10.8,31.6,10% turpentine
0.2189,-11.56,14.3,38.6,pure
0.2012,-14.49,18.3,38.1,5% turpentine
0.2349,-10.02,11.9,33.4,10% turpentine
0.1849,-16.81,16.1,39.6,pure
0.1522,-18.39,25.4,45.0,10% turpentine
0.1493,-17.64,23.5,45.7,20% turpentine
0.2267,-11.14,11.1,32.3,20% turpentine
0.107,-20.78,27.0,48.7,5% turpentine
0.2009,-13.92,14.5,37.0,5% turpentine
0.2078,-10.95,16.4,36.1,pure
0.1958,-15.22,15.4,39.2,5% turpentine
0.1537,-13.51,20.1,41.2,5% kerosene
0.2393,-10.19,10.4,31.7,5% turpentine
0.2226,-11.67,16.1,33.8,20% turpentine
0.1513,-18.23,21.6,42.0,5% turpentine
0.1758,-13.11,15.2,37.9,15% turpentine
0.1951,-11.65,13.6,34.6,pure
0.1366,-17.84,20.5,46.5,15% turpentine
0.2059,-13.29,14.9,37.4,5% turpentine
0.1039,-21.27,26.3,48.8,15% kerosene
0.1098,-20.33,24.9,47.2,5% kerosene
0.1853,-14.13,17.9,39.0,20% turpentine
0.1771,-14.91,21.5,41.9,20% turpentine
0.1443,-17.68,22.5,44.3,10% turpentine
0.1616,-16.76,19.8,42.1,15% kerosene
0.2022,-14.19,17.8,34.9,15% kerosene
0.0988,-21.42,27.3,47.5,15% kerosene
0.1948,-12.35,15.5,40.1,15% kerosene
0.238,-11.68,12.4,32.9,10% kerosene
0.1322,-17.77,20.7,47.0,15% kerosene
0.2413,-10.02,10.7,32.9,5% turpentine
0.1716,-16.19,18.1,37.9,15% turpentine
0.1493,-13.16,16.6,41.9,10% kerosene
0.2392,-10.1,11.1,32.1,5% kerosene
0.2366,-11.18,10.9,32.3,10% kerosene
0.1055,-20.75,25.1,47.0,10% kerosene
0.1342,-17.66,20.2,44.6,5% kerosene
0.1099,-21.25,27.4,48.7,5% kerosene
0.1852,-15.81,18.0,39.2,5% kerosene
0.0971,-21.03,28.1,49.6,15% kerosene
0.2121,-13.6,17.9,40.6,20% kerosene
0.1754,-14.78,17.2,41.6,5% turpentine
0.1089,-21.17,27.2,48.8,20% turpentine
0.1665,-18.97,18.4,43.6,5% turpentine
0.165,-12.11,14.3,38.3,5% turpentine
0.188,-15.6,17.7,39.9,20% kerosene
0.2202,-12.27,15.5,35.7,20% kerosene
0.137,-17.42,23.6,42.9,15% turpentine
0.2474,-9.54,10.3,31.5,5% turpentine
0.2425,-10.54,10.8,32.7,pure
0.2361,-11.88,11.9,35.4,5% kerosene
0.1892,-14.86,18.2,43.4,5% turpentine
0.1604,-17.27,22.8,45.1,15% turpentine
0.1787,-13.64,17.4,41.7,10% kerosene
0.2113,-14.78,16.9,36.7,20% kerosene
0.2052,-11.32,16.3,37.8,15% kerosene
0.2113,-13.56,19.3,40.5,20% turpentine
0.1032,-20.38,28.3,47.5,15% turpentine
0.2482,-9.64,10.3,31.3,10% kerosene
0.2183,-13.79,15.3,36.0,5% turpentine
0.2469,-9.82,10.7,31.6,20% kerosene
0.168,-14.39,17.7,44.3,5% kerosene
0.2345,-12.62,12.7,35.3,10% turpentine
0.2326,-12.1,15.1,36.7,20% turpentine
0.1969,-14.73,16.4,39.4,15% kerosene
0.1344,-14.49,21.3,43.3,pure
0.2484,-9.83,10.1,31.6,5% turpentine
0.2357,-11.15,11.1,33.6,20% turpentine
0.1724,-14.94,16.6,40.8,10% kerosene
0.1151,-19.9,23.3,47.8,10% turpentine
0.2053,-12.04,15.2,41.1,10% turpentine
0.2481,-9.86,10.4,31.9,10% turpentine
0.1342,-17.93,23.2,43.6,15% turpentine
0.2017,-13.13,13.3,36.8,5% turpentine
0.1781,-13.89,20.5,40.9,15% turpentine
0.2131,-11.21,12.2,34.9,20% kerosene
0.1143,-17.03,24.7,45.1,10% turpentine
0.117,-17.57,24.2,44.1,pure
0.1229,-15.76,21.1,45.2,20% kerosene
0.1664,-14.22,17.1,41.2,5% turpentine
0.1163,-17.36,22.4,45.8,20% kerosene
0.158,-17.88,19.7,43.3,10% kerosene
0.2339,-10.83,11.4,37.9,pure
0.1498,-16.19,21.3,43.5,10% turpentine
0.1188,-18.69,22.1,46.0,pure
0.18,-13.72,17.0,37.6,15% turpentine
0.1507,-16.08,15.4,42.6,pure
0.1391,-17.8,21.7,44.8,pure
0.2059,-14.15,13.7,40.4,5% turpentine
0.24,-9.81,10.8,32.7,15% kerosene
0.1552,-15.53,21.9,44.4,5% kerosene
0.2429,-10.16,11.0,32.6,20% kerosene
0.2271,-10.34,12.1,33.6,5% turpentine
0.1313,-17.53,22.9,44.0,15% turpentine
0.1902,-14.21,15.2,38.9,10% kerosene
0.2156,-14.27,14.2,36.3,pure
0.2479,-9.69,10.3,31.9,10% kerosene
0.1121,-21.62,26.2,48.8,5% kerosene
0.1936,-13.98,18.2,36.8,10% kerosene
0.2486,-9.9,10.4,31.7,5% turpentine
0.2263,-10.52,12.4,35.4,15% turpentine
0.1495,-15.8,19.8,44.1,5% kerosene
0.1247,-15.5,22.3,45.3,pure
0.2194,-11.78,12.2,36.9,5% kerosene
0.1251,-18.2,18.3,45.8,10% kerosene
0.0971,-21.66,29.8,49.5,20% turpentine
0.1249,-20.21,23.5,46.2,5% turpentine
0.1109,-21.73,29.2,48.9,15% turpentine
0.1248,-20.18,22.7,46.3,15% kerosene
0.1179,-20.69,22.4,47.8,5% turpentine
0.2363,-10.95,11.8,34.8,20% kerosene
0.2072,-13.67,13.5,36.4,10% kerosene
0.1071,-20.11,22.1,48.7,20% turpentine
0.1103,-20.16,26.1,47.7,pure
0.1064,-21.28,26.9,48.9,20% kerosene
0.1856,-12.74,16.5,41.6,15% kerosene
0.167,-13.89,20.8,41.3,15% turpentine
0.1249,-18.48,21.8,46.3,20% turpentine
0.2472,-9.65,10.3,31.9,10% turpentine
0.1145,-17.38,25.8,46.0,5% turpentine
0.2087,-11.8,15.4,36.6,15% kerosene
0.2214,-11.67,13.0,34.2,pure
0.1903,-13.17,16.2,39.7,20% kerosene
0.105,-21.22,26.3,47.3,15% turpentine
0.1618,-13.43,15.5,39.2,10% kerosene
0.223,-13.41,15.3,38.1,5% kerosene
0.2219,-11.39,13.1,38.1,5% turpentine
0.1704,-17.71,16.7,42.7,pure
0.1552,-16.74,14.2,39.9,5% kerosene
0.1021,-21.06,25.4,49.0,20% kerosene
0.2137,-10.3,15.4,35.8,10% turpentine
0.1993,-10.79,12.1,33.6,5% turpentine
0.1665,-16.76,20.8,42.4,5% kerosene
0.1121,-21.36,24.7,48.3,5% turpentine
0.2157,-11.24,13.5,38.3,pure
0.2133,-15.99,18.5,38.3,5% kerosene
0.245,-9.63,10.1,31.9,pure
0.1623,-12.79,17.9,39.3,20% turpentine
0.1703,-15.91,19.4,41.2,10% kerosene
0.2194,-12.45,15.1,37.8,15% kerosene
0.2095,-12.11,13.4,37.5,10% turpentine
0.1191,-18.22,19.3,43.8,20% kerosene
0.1484,-16.13,17.1,43.7,10% turpentine
0.1276,-19.37,22.7,47.3,5% kerosene
0.2077,-13.04,14.9,37.8,15% kerosene
0.2346,-10.05,12.0,35.1,20% kerosene
0.1606,-14.3,18.2,41.3,20% kerosene
0.1885,-14.71,14.9,37.6,10% kerosene
0.2201,-11.0,12.6,35.3,20% kerosene
0.1675,-14.24,16.4,40.2,20% turpentine
0.177,-16.31,18.1,43.9,20% kerosene
0.2376,-10.1,12.2,33.6,15% turpentine
0.1436,-14.38,21.8,40.0,15% turpentine
0.2001,-13.45,15.9,38.9,10% turpentine
0.1741,-15.28,19.7,43.5,5% turpentine
0.179,-16.59,21.4,39.7,10% turpentine
0.1907,-12.81,14.8,38.8,pure
0.201,-13.64,14.9,38.6,20% turpentine
0.1879,-13.64,15.6,39.1,10% turpentine
0.1336,-16.68,23.9,45.0,5% turpentine
0.2446,-9.7,11.4,32.5,10% turpentine
0.145,-19.55,21.8,48.2,5% turpentine
0.0991,-20.88,25.5,49.4,10% kerosene
0.0983,-21.88,28.4,49.5,15% kerosene
0.2483,-9.74,10.3,32.2,5% kerosene
0.1073,-18.81,24.3,47.9,5% turpentine
0.193,-11.2,18.8,38.6,15% kerosene
0.1621,-18.56,20.0,43.0,15% turpentine
0.1953,-11.85,12.8,37.0,10% kerosene
0.1917,-17.86,17.7,41.0,10% turpentine
0.2299,-12.47,12.9,32.9,15% kerosene
0.1529,-17.31,20.7,42.8,5% turpentine
0.1535,-13.12,15.5,41.0,10% turpentine
0.1047,-19.98,27.1,47.9,pure
0.1526,-20.56,22.2,44.9,15% kerosene
0.2394,-9.92,11.6,32.9,20% turpentine
0.1258,-19.16,25.9,46.1,5% kerosene
0.1834,-13.77,14.9,39.5,pure
0.1507,-18.45,23.7,46.1,15% kerosene
0.1536,-16.03,15.0,38.6,5% turpentine
0.1126,-20.22,26.6,47.6,20% kerosene
0.1905,-12.71,18.0,38.6,5% turpentine
0.2093,-11.88,14.1,37.8,5% turpentine
0.1975,-11.88,11.6,38.8,20% kerosene
0.2173,-10.45,11.5,35.1,15% kerosene
0.1604,-16.8,23.8,44.3,20% turpentine
0.0976,-20.91,25.2,49.3,5% kerosene
0.1226,-16.81,23.0,43.3,10% kerosene
0.1666,-14.53,16.0,36.8,5% turpentine
0.1044,-20.57,23.9,48.5,5% kerosene
0.1652,-16.11,22.9,42.0,5% turpentine
0.1832,-15.29,15.2,36.7,15% kerosene
0.116,-20.1,26.7,47.1,20% kerosene
0.2127,-12.03,13.9,35.3,10% kerosene
0.1199,-18.52,23.9,48.1,pure
0.1614,-14.54,15.7,40.2,5% turpentine
0.1336,-18.45,24.3,46.0,5% turpentine
0.2389,-10.39,10.6,33.2,10% kerosene
0.1602,-17.66,16.7,44.7,20% turpentine
0.1095,-21.24,27.2,48.6,20% turpentine
0.1195,-19.23,22.2,47.9,20% kerosene
0.1291,-19.53,24.9,46.6,15% turpentine
0.204,-16.99,19.9,39.0,15% kerosene
0.109,-19.0,22.7,45.8,20% turpentine
0.124,-15.76,22.5,46.6,10% turpentine
0.1058,-18.1,27.6,48.2,5% kerosene
0.1518,-18.79,20.0,45.0,10% kerosene
0.1121,-21.21,25.7,49.1,15% kerosene
0.17,-11.53,15.6,37.1,15% turpentine
0.1994,-15.8,15.3,39.1,10% turpentine
0.2311,-10.46,11.9,33.8,10% turpentine
0.1727,-13.87,14.6,37.9,10% kerosene
0.1444,-17.9,15.8,44.3,20% kerosene
0.2225,-12.15,13.4,37.0,10% turpentine
0.1356,-19.11,21.3,44.7,5% turpentine
0.1708,-16.79,20.8,42.2,15% kerosene
0.1875,-13.5,14.8,40.9,15% turpentine
0.174,-16.23,21.9,41.8,20% turpentine
0.1966,-14.76,18.6,39.2,10% turpentine
0.1577,-20.03,23.2,46.2,5% turpentine
0.2292,-11.46,12.3,35.6,20% kerosene
0.2493,-9.56,10.2,31.1,pure
0.2348,-10.48,11.7,33.5,20% turpentine
0.136,-19.98,18.5,44.6,20% kerosene
0.2476,-9.6,10.3,31.5,pure
0.2239,-14.86,15.0,40.9,15% turpentine
0.1491,-15.11,19.8,41.9,20% turpentine
0.1328,-19.44,25.1,45.7,20% turpentine
0.1955,-15.8,20.0,43.6,pure
0.106,-19.57,26.0,48.1,10% kerosene
0.1533,-18.38,20.3,44.4,15% kerosene
0.1654,-14.87,19.4,40.1,5% kerosene
0.2098,-13.24,18.8,41.7,pure
0.1871,-11.36,14.2,36.4,15% turpentine
0.1174,-19.96,24.0,46.8,10% turpentine
0.1055,-21.26,24.3,48.3,pure
0.1265,-19.89,25.7,45.9,5% turpentine
0.2168,-13.51,18.7,40.9,15% kerosene
0.24,-9.83,10.8,31.8,10% turpentine
0.1303,-16.58,21.4,44.1,15% turpentine
0.1789,-15.8,19.1,41.6,15% kerosene
0.2368,-11.18,11.6,33.5,10% turpentine
0.1473,-16.15,20.4,46.8,10% turpentine
0.1104,-20.55,25.5,47.9,20% kerosene
0.1584,-15.44,18.7,43.1,10% kerosene
0.1477,-16.97,17.7,37.2,10% kerosene
0.1955,-14.41,12.8,41.0,5% kerosene
0.2145,-15.36,16.3,38.0,5% kerosene
0.2458,-9.68,10.6,32.4,5% kerosene
0.1812,-15.32,18.0,40.8,pure
0.1978,-12.21,14.4,41.0,20% turpentine
0.2206,-12.53,13.2,36.2,20% turpentine
0.1442,-17.61,22.0,45.8,10% kerosene
0.1073,-19.25,20.9,44.5,15% kerosene
0.1586,-18.69,19.4,43.6,15% turpentine
0.1514,-13.27,19.8,42.1,5% kerosene
0.2219,-10.64,14.0,37.7,20% kerosene
0.2068,-15.42,18.2,40.9,20% kerosene
0.2319,-11.68,11.6,35.5,20% kerosene
0.2065,-12.91,12.3,36.9,10% kerosene
0.1311,-18.55,21.5,46.1,20% kerosene
0.1194,-20.43,26.3,46.5,pure
0.1961,-13.33,16.8,40.5,5% turpentine
0.1362,-16.88,25.9,46.7,5% turpentine
0.2394,-10.06,11.0,34.3,20% turpentine
0.1818,-13.92,18.4,39.7,10% turpentine
0.1039,-21.34,27.5,48.6,pure
0.1368,-19.34,21.8,44.2,15% kerosene
0.158,-16.64,16.7,44.4,10% kerosene
0.1446,-15.08,22.3,44.5,pure
0.1802,-14.27,15.1,40.7,15% turpentine
0.1614,-14.21,20.5,42.2,15% kerosene
0.1758,-16.14,17.5,37.0,20% turpentine
0.2429,-10.16,11.1,32.1,10% turpentine
0.1086,-19.57,25.2,46.8,15% kerosene
0.1612,-19.32,24.5,44.9,pure
0.1883,-14.58,15.5,39.0,15% turpentine
0.1344,-13.32,18.3,42.7,15% turpentine
0.2143,-12.45,12.0,34.6,20% kerosene
0.1616,-18.09,19.7,41.3,15% kerosene
0.2027,-11.32,14.6,37.9,15% turpentine
0.2289,-11.59,13.2,35.3,5% kerosene
0.0983,-21.76,28.8,49.2,pure
0.1745,-13.22,17.5,42.9,20% turpentine
0.1767,-14.75,19.9,40.4,5% turpentine
0.1776,-16.72,16.8,43.1,5% kerosene
0.2341,-10.96,11.6,33.3,10% kerosene
0.129,-19.38,22.9,46.9,10% turpentine
0.2391,-9.86,11.4,33.2,10% kerosene
0.2422,-9.75,11.9,32.3,20% turpentine
0.1767,-16.86,18.5,41.3,pure
0.2413,-10.35,10.8,32.5,pure
0.1754,-16.68,22.7,44.5,5% kerosene
0.1127,-20.04,21.6,48.7,15% turpentine
0.1455,-16.62,18.2,44.5,15% turpentine
0.1233,-20.79,27.3,47.2,20% turpentine
0.1249,-19.61,25.3,44.8,10% turpentine
0.1838,-13.08,14.8,38.0,20% kerosene
0.1417,-19.29,19.3,46.2,20% turpentine
0.2154,-12.09,13.3,34.9,5% turpentine
0.2343,-10.28,12.7,33.4,10% kerosene
0.2386,-10.55,11.8,32.4,5% kerosene
0.0984,-21.42,28.4,49.6,pure
0.1593,-15.77,17.4,41.4,20% kerosene
0.1139,-17.5,22.8,43.9,5% turpentine
0.1584,-16.14,16.7,41.2,5% turpentine
0.1377,-16.61,22.7,43.2,5% turpentine
0.108,-20.96,29.9,48.6,5% turpentine
0.1241,-20.69,23.3,46.2,15% kerosene
0.2494,-9.61,10.2,31.2,20% turpentine
0.2413,-10.42,11.2,32.8,15% turpentine
0.2379,-10.33,11.4,32.5,15% kerosene
0.2219,-11.14,11.7,36.2,15% kerosene
0.2214,-12.61,12.4,36.6,pure
0.096,-21.72,29.8,49.6,20% kerosene
0.1512,-19.97,21.6,46.5,20% turpentine
0.2425,-10.39,10.9,33.4,5% kerosene
0.2349,-10.57,11.2,34.0,pure
0.1217,-18.44,21.3,46.2,10% turpentine
0.1819,-12.42,16.2,38.0,15% turpentine
0.1233,-19.09,24.5,47.2,5% turpentine
0.1899,-15.16,15.8,40.0,pure
0.1602,-18.62,20.8,45.7,5% kerosene
0.152,-16.47,18.2,44.8,5% kerosene
0.1083,-19.33,25.1,48.0,20% turpentine
0.1756,-14.8,18.5,42.1,20% kerosene
0.1588,-17.64,18.9,41.9,10% turpentine
0.1467,-16.89,17.8,44.5,5% turpentine
0.2105,-10.23,14.3,35.1,20% kerosene
0.2319,-13.68,17.8,37.1,5% kerosene
0.1356,-18.99,24.9,45.6,20% kerosene
0.2445,-10.14,12.8,32.9,10% kerosene
0.1824,-13.02,14.8,37.0,20% turpentine
0.2481,-10.43,10.6,32.2,20% kerosene
0.2477,-9.66,10.4,31.5,10% turpentine
0.1722,-17.14,20.1,41.8,15% turpentine
0.2171,-12.64,14.1,35.3,5% turpentine
0.1695,-14.16,19.3,40.5,5% kerosene
0.1465,-15.03,18.4,41.6,20% kerosene
0.2002,-13.94,15.2,36.9,15% turpentine
0.1825,-16.48,17.2,38.1,pure
0.2414,-9.69,10.4,32.1,5% kerosene
0.1173,-19.17,26.3,46.1,pure
0.0978,-21.81,26.4,49.2,20% turpentine
0.097,-21.98,29.0,49.7,5% turpentine
0.2234,-11.77,14.3,38.6,20% kerosene
0.2153,-15.38,15.0,36.9,5% turpentine
0.1122,-17.63,20.2,45.5,10% kerosene
0.2331,-10.13,12.1,32.4,20% turpentine
0.1895,-14.94,18.9,38.3,10% kerosene
0.2322,-12.13,11.4,33.7,5% kerosene
0.1873,-14.32,16.3,39.9,15% turpentine
0.1258,-19.0,25.0,47.0,pure
0.1735,-14.36,22.5,42.3,15% kerosene
0.235,-12.71,14.6,35.3,10% turpentine
0.2287,-9.96,11.4,33.1,20% turpentine
0.2347,-11.59,14.1,35.8,5% turpentine
0.2318,-11.73,12.4,34.2,15% kerosene
0.2172,-14.1,15.4,38.1,pure
0.2221,-13.3,16.4,37.5,5% kerosene
0.157,-14.77,16.4,40.0,5% turpentine
0.1532,-18.77,22.2,43.0,20% kerosene
0.174,-13.84,14.5,38.2,20% turpentine
0.1881,-15.17,17.1,40.9,20% kerosene
0.2073,-12.25,12.6,35.6,10% kerosene
0.1267,-15.75,21.0,44.2,15% kerosene
0.232,-10.3,12.1,35.2,5% kerosene
0.1253,-18.04,19.9,43.7,5% turpentine
0.1305,-17.37,22.4,44.9,20% kerosene
0.2425,-9.61,10.7,32.5,10% turpentine
0.2127,-15.5,17.8,42.6,15% turpentine
0.2394,-11.57,13.4,34.9,pure
0.2487,-9.61,10.3,31.7,20% turpentine
0.2341,-10.99,14.0,35.5,10% turpentine
0.1791,-13.4,16.0,38.8,pure
0.1,-20.07,26.5,48.9,15% kerosene
0.2435,-9.75,10.5,31.6,10% kerosene
0.1724,-12.46,14.4,38.1,10% turpentine
0.1117,-20.73,25.3,47.7,15% kerosene
0.1272,-18.81,18.9,45.2,5% kerosene
0.1858,-16.52,18.8,44.3,20% kerosene
0.1819,-15.08,18.5,41.4,15% kerosene
0.1923,-12.66,15.0,39.6,5% turpentine
0.1635,-16.92,22.3,39.5,10% kerosene
0.107,-19.82,23.7,47.0,20% kerosene
0.1255,-18.79,23.9,47.1,20% turpentine
0.1684,-19.45,21.3,44.7,10% kerosene
0.1702,-14.62,18.9,40.7,20% turpentine
0.1275,-15.17,20.4,46.2,20% turpentine
0.1558,-16.27,19.4,42.8,5% kerosene
0.1771,-16.22,20.7,41.0,10% kerosene
0.1864,-13.55,15.4,35.6,10% kerosene
0.1522,-15.38,18.7,41.6,pure
0.2206,-11.23,13.7,39.2,20% kerosene
0.1329,-15.29,21.1,45.2,15% kerosene
0.1623,-16.37,18.0,40.9,pure
0.1678,-17.17,19.1,44.2,20% turpentine
0.2031,-13.06,15.8,39.9,10% kerosene
0.1243,-17.18,20.5,46.0,20% turpentine
0.2331,-12.69,12.9,38.1,20% kerosene
0.1674,-15.6,15.6,39.5,15% turpentine
0.119,-18.67,23.5,45.9,20% turpentine
0.2175,-14.38,17.9,40.8,5% kerosene
0.1442,-17.96,22.0,46.4,pure
0.2271,-13.67,19.5,39.7,20% turpentine
0.2055,-11.85,17.7,38.2,15% turpentine
0.1539,-19.93,19.3,45.7,20% turpentine
0.1062,-19.21,27.0,46.6,10% kerosene
0.1561,-14.44,18.4,37.5,5% turpentine
0.2169,-12.21,14.5,35.8,5% kerosene
0.1302,-20.04,22.7,46.3,5% turpentine
0.1799,-15.47,13.4,39.2,10% kerosene
0.237,-10.55,11.5,35.1,20% turpentine
0.1506,-16.81,21.3,44.1,15% turpentine
0.0979,-20.96,28.8,49.5,5% turpentine
0.1157,-20.82,22.5,46.2,5% turpentine
0.1629,-12.66,17.4,41.9,15% turpentine
0.1499,-14.62,17.8,43.5,pure
0.1677,-17.99,18.0,40.2,10% kerosene
0.1366,-15.29,19.7,44.0,15% kerosene
0.1759,-16.66,20.0,38.7,10% kerosene
0.1795,-14.64,17.8,39.3,pure
0.1114,-20.88,24.9,46.5,10% turpentine
0.1605,-16.37,17.7,42.1,20% turpentine
0.143,-17.39,21.5,46.0,pure
0.1154,-17.56,22.9,44.8,20% turpentine
0.1935,-13.96,15.8,36.7,pure
0.2084,-12.58,13.1,35.0,15% turpentine
0.139,-16.05,17.2,41.1,5% kerosene
0.2064,-12.97,16.4,37.5,pure
0.1451,-14.55,16.8,42.0,15% turpentine
0.207,-11.21,14.2,34.4,5% turpentine
0.1536,-17.37,17.8,43.6,15% kerosene
0.1107,-17.76,23.5,48.0,10% turpentine
0.1839,-14.39,18.0,37.8,5% turpentine
0.1439,-19.2,22.4,47.1,15% kerosene
0.1769,-13.34,15.9,37.1,10% kerosene
0.2196,-10.46,12.1,34.8,5% turpentine
0.2145,-13.52,14.7,39.5,5% kerosene
0.1408,-18.54,18.6,43.2,20% turpentine
0.1227,-19.73,24.3,46.6,10% kerosene
0.1925,-12.58,15.9,37.2,5% turpentine
0.1349,-16.45,19.5,41.4,20% turpentine
0.1502,-16.78,18.7,40.9,5% turpentine
0.1785,-14.34,14.6,39.3,20% turpentine
0.2454,-9.64,10.7,31.9,5% turpentine
0.2304,-12.12,12.2,36.0,20% turpentine
0.1834,-16.82,17.9,41.5,20% kerosene
0.1444,-20.24,23.5,43.6,5% kerosene
0.1663,-14.85,14.1,44.8,15% turpentine
0.1213,-17.64,23.7,43.7,20% turpentine
0.2416,-9.81,12.1,32.2,5% kerosene
0.2337,-10.86,14.2,33.9,20% turpentine
0.1904,-12.57,16.2,42.2,5% kerosene
0.2429,-9.93,11.7,32.6,10% kerosene
0.1911,-14.64,17.3,42.4,20% kerosene
0.2407,-11.1,13.5,34.5,5% turpentine
0.1251,-19.58,24.0,43.3,20% kerosene
