frequency_shift,S11_magnitude,Q_factor,phase_shift,label
0.148,-17.79,22.9,43.4,5% turpentine
0.202,-11.71,14.8,36,15% turpentine
0.2176,-10.13,12.3,34.8,20% kerosene
0.1136,-20.38,28.2,49.7,pure
0.2434,-10.09,12,33.4,20% turpentine
0.1443,-17.45,21.7,43,5% turpentine
0.2162,-10.6,11.7,34.8,20% kerosene
0.1716,-14.41,17,40.7,10% turpentine
0.1771,-14.36,17.6,39.9,10% turpentine
0.1374,-17.18,22.6,43.1,5% turpentine
0.1749,-14.75,17.1,40.4,10% turpentine
0.188,-13.75,14.5,39.6,15% kerosene
0.1423,-17.34,22,43.9,5% turpentine
0.1377,-18.95,23.4,44.6,5% kerosene
0.1921,-13.38,15,39.9,15% kerosene
0.197,-13.99,15,38.8,15% kerosene
0.108,-21.55,28.6,48.1,pure
0.2292,-10.79,13.6,35.7,20% kerosene
0.1402,-17.57,20.1,44.7,5% turpentine
0.1961,-13.32,14.7,38.9,15% kerosene
0.1931,-12.62,15,38.7,15% kerosene
0.1088,-21.23,29.7,47.8,pure
0.2439,-10.24,10.9,32.7,20% turpentine
0.1743,-14.8,16.8,40.7,10% turpentine
0.1268,-17.61,22.9,45.8,5% kerosene
0.1785,-14.87,16.6,40.2,10% turpentine
0.1901,-12.77,14.3,39.7,15% kerosene
0.2123,-11.67,13.5,35.4,15% turpentine
0.1638,-15.2,17.1,41.6,10% kerosene
0.2399,-10.35,10.3,31.7,20% turpentine
0.1619,-15.04,18.5,41.7,10% kerosene
0.1391,-17,21.3,43.9,5% turpentine
0.1559,-16.45,19.4,42.5,10% kerosene
0.2092,-12.38,14.7,36.8,15% turpentine
0.2418,-9.73,10.3,32.5,20% turpentine
0.1869,-12.62,16.6,39,15% kerosene
0.1374,-17.27,22.5,44,5% turpentine
0.1795,-14.82,16.5,39.1,10% turpentine
0.2114,-12.79,14.1,35.4,15% turpentine
0.2194,-10.08,13.3,34.3,20% kerosene
0.1355,-18.38,21.2,43.3,5% turpentine
0.1464,-17.56,20.4,43.1,5% turpentine
0.1095,-20.21,29.4,49.4,pure
0.144,-18.06,22.1,44.7,5% turpentine
0.2079,-12.36,13.3,36.8,15% turpentine
0.0974,-21.01,25.2,49.8,pure
0.2459,-9.51,10.3,32.2,20% turpentine
0.1474,-17.98,22,44.1,5% turpentine
0.1965,-13.72,15,38.9,15% kerosene
0.1056,-21.52,25.5,49.7,pure
0.1723,-15.11,16.6,39.6,10% turpentine
0.1252,-17.14,22.3,45.9,5% kerosene
0.1279,-18.86,21.3,44,5% kerosene
0.2255,-11.05,13.8,35.9,20% kerosene
0.2145,-12.35,13.6,36,15% turpentine
0.2406,-10.35,11.3,32.8,20% turpentine
0.1795,-15.36,17.3,39.9,10% turpentine
0.2299,-11.15,13.8,35.3,20% kerosene
0.2185,-10.49,11.1,34.2,20% kerosene
0.1294,-18.34,23,45.5,5% kerosene
0.201,-12.22,13.1,36.6,15% turpentine
0.1494,-17.99,21.9,44.9,5% turpentine
0.1675,-14.91,17.9,39.5,10% turpentine
0.2193,-10.97,13.2,34.6,20% kerosene
0.1973,-13.61,14.5,39.3,15% kerosene
0.0951,-21.68,27.7,49.2,pure
0.1399,-17.72,20.3,43.7,5% turpentine
0.1071,-21.98,25.5,49.2,pure
0.1577,-16.31,19.7,41.9,10% kerosene
0.1378,-18.37,21.5,45.1,5% kerosene
0.0963,-20.1,29.8,49.5,pure
0.1989,-13.16,15.7,38.6,15% kerosene
0.2106,-12.84,14.1,35.5,15% turpentine
0.226,-11.18,11.1,34.5,20% kerosene
0.1747,-14.15,16.5,40.9,10% turpentine
0.1627,-15.94,17.3,41.9,10% kerosene
0.1644,-15.61,18.4,42.3,10% kerosene
0.1556,-15.22,18.6,43,10% kerosene
0.1493,-18.27,21.3,44.9,5% turpentine
0.1293,-17.82,21.1,44.1,5% kerosene
0.2144,-12.27,13.2,36.1,15% turpentine
0.1384,-18.32,22.1,44.2,5% kerosene
0.2004,-12.8,14.9,36.1,15% turpentine
0.0951,-20.37,28.5,49.3,pure
0.2198,-10.26,11.1,35.2,20% kerosene
0.1261,-17.36,23.1,44.2,5% kerosene
0.1313,-18.5,22.1,45.5,5% kerosene
0.1677,-15.14,17.9,39.4,10% turpentine
0.1359,-17.05,22.7,44.9,5% turpentine
0.1375,-17.31,22.1,43.4,5% turpentine
0.1138,-20.21,28,49.8,pure
0.1306,-17.75,22.5,45.7,5% kerosene
0.2268,-11.37,12.3,35.8,20% kerosene
0.1606,-16.83,19.3,42.1,10% kerosene
0.2124,-11.9,14.5,35,15% turpentine
0.1369,-18.46,22.3,44.2,5% kerosene
0.2177,-10.65,13.7,34.1,20% kerosene
0.1645,-16.52,17.2,41.3,10% kerosene
0.1054,-20.59,26.8,49.9,pure
0.148,-17.34,22.3,44.7,5% turpentine
0.2462,-10.7,12.9,32.1,20% turpentine
0.1386,-17.02,20.4,44,5% turpentine
0.2454,-11,11.9,32.1,20% turpentine
0.1677,-14.48,16.4,40.1,10% turpentine
0.2493,-9.89,11.1,31.9,20% turpentine
0.1753,-14.49,16.4,40.3,10% turpentine
0.2194,-10.16,11,34.2,20% kerosene
0.1575,-16.44,17.5,41.2,10% kerosene
0.2291,-10.3,14,34.7,20% kerosene
0.1552,-16.06,17.2,41.2,10% kerosene
0.1359,-17.05,22.5,44.6,5% kerosene
0.1656,-15.32,16.9,40.9,10% turpentine
0.139,-17.18,22.4,44.3,5% turpentine
0.0979,-21.02,29.9,48.1,pure
0.1572,-15.15,18.5,41.5,10% kerosene
0.2437,-9.88,12.4,33,20% turpentine
0.1018,-21.77,29.6,49.7,pure
0.1991,-13.73,14.2,39.5,15% kerosene
0.2004,-12.04,14.2,36.1,15% turpentine
0.1781,-14.33,17.1,40.5,10% turpentine
0.2271,-10.51,13.1,35.7,20% kerosene
0.2484,-9.57,12.4,31.9,20% turpentine
0.1723,-14.5,16.3,39.1,10% turpentine
0.096,-21.44,29.5,48.1,pure
0.1855,-13.29,15.7,38.1,15% kerosene
0.1626,-15.62,17.1,42.6,10% kerosene
0.1919,-13.55,16.2,39,15% kerosene
0.1116,-21.58,25.9,48,pure
0.1382,-17.52,23.1,45.4,5% kerosene
0.1873,-13.53,14.7,39.5,15% kerosene
0.2245,-11.11,11.4,35.7,20% kerosene
0.207,-12.91,14.1,36.9,15% turpentine
0.199,-13.15,16.1,39.8,15% kerosene
0.1025,-20.1,28.7,49,pure
0.1592,-16.62,18.4,41.7,10% kerosene
0.2389,-10.36,12.6,33.5,20% turpentine
0.1956,-13.77,15.7,39.2,15% kerosene
0.1707,-14.9,17.2,40.1,10% turpentine
0.1435,-17.47,22.4,43.4,5% turpentine
0.1382,-18.45,22,43.7,5% turpentine
0.2178,-10.69,13.6,35.5,20% kerosene
0.2427,-9.98,10.1,31.3,20% turpentine
0.1796,-14.99,16.4,40.6,10% turpentine
0.1454,-18.27,22.4,43.4,5% turpentine
0.1478,-17.76,21.4,44.2,5% turpentine
0.2122,-12.08,13.6,36.2,15% turpentine
0.1872,-13.38,14.3,40,15% kerosene
0.0951,-20.98,27.1,48.1,pure
0.2239,-11.42,12.5,35.2,20% kerosene
0.1308,-17.71,22.4,45.1,5% kerosene
0.0968,-21.61,25.2,48.3,pure
0.1264,-17.63,21.2,44.6,5% kerosene
0.1633,-15.88,19.6,41.8,10% kerosene
0.1303,-18.77,21.4,45.5,5% kerosene
0.2491,-10.64,10.4,31.6,20% turpentine
0.1793,-15.47,16.4,39,10% turpentine
0.165,-16.66,17.6,41.1,10% kerosene
0.2292,-10.8,12.8,34.3,20% kerosene
0.1746,-14.2,16.9,40,10% turpentine
0.1127,-21.06,25.6,49.3,pure
0.1909,-12.78,15.3,38.8,15% kerosene
0.1365,-18.57,22.9,44.2,5% kerosene
0.168,-14.48,16.1,39.1,10% turpentine
0.21,-11.81,14.9,35.5,15% turpentine
0.1893,-13.13,14.5,39,15% kerosene
0.1078,-21.83,25.8,49.7,pure
0.1024,-20.74,28.2,48.8,pure
0.0974,-21.32,29.7,48.3,pure
0.1975,-12.55,14.4,39.5,15% kerosene
0.2394,-9.85,11.9,32.1,20% turpentine
0.244,-9.9,13,33.8,20% turpentine
0.2148,-12.8,14.4,35.8,15% turpentine
0.1943,-13.2,16.7,39.6,15% kerosene
0.1709,-14.52,16.2,40.3,10% turpentine
0.1687,-15.26,17.7,39.4,10% turpentine
0.1578,-16.58,18.1,42,10% kerosene
0.1483,-17.07,22.6,44.6,5% turpentine
0.2228,-11.43,11.5,35.5,20% kerosene
0.2017,-11.77,13.8,36.8,15% turpentine
0.1111,-21.63,29.5,48.8,pure
0.1395,-17.44,20.2,44.2,5% turpentine
0.1696,-14.44,16.4,40.3,10% turpentine
0.1761,-14.86,16.7,39.7,10% turpentine
0.2181,-11.46,11.5,35.2,20% kerosene
0.1966,-13.32,15.6,38.9,15% kerosene
0.247,-10.56,12.9,32.8,20% turpentine
0.1292,-18.95,22.9,44.4,5% kerosene
0.1852,-13,14.5,39.9,15% kerosene
0.1699,-15.89,19.3,42.9,10% kerosene
0.1944,-13.5,14.4,39.6,15% kerosene
0.2433,-10.99,12.3,31.1,20% turpentine
0.1558,-15.27,19.4,43,10% kerosene
0.1749,-15.01,17.5,39.3,10% turpentine
0.2457,-10.89,10.2,31,20% turpentine
0.2026,-11.96,13.4,36.1,15% turpentine
0.1055,-21.14,25.1,47.8,pure
0.1692,-15.55,18.8,41.8,10% kerosene
0.2259,-10.76,13.1,34.9,20% kerosene
0.1798,-14.05,16,40.9,10% turpentine
0.2165,-11.14,13.2,35.7,20% kerosene
0.1298,-17.21,22.2,44,5% kerosene
0.1474,-18.31,21,44.5,5% turpentine
0.1568,-15.22,18.8,42.4,10% kerosene
0.2156,-11.47,14,34.9,20% kerosene
0.1556,-16.5,19.1,42.8,10% kerosene
0.206,-12.77,15,36.9,15% turpentine
0.1343,-18.8,21.3,45.4,5% kerosene
0.1395,-17.29,21.9,44.8,5% kerosene
0.2081,-11.74,14,36.2,15% turpentine
0.1028,-21.46,29.1,48.4,pure
0.1002,-20.67,26.6,48.8,pure
0.1643,-16.28,17.3,42.3,10% kerosene
0.1715,-15.13,17.2,40.4,10% turpentine
0.2183,-11.22,13.3,34.7,20% kerosene
0.22,-10.34,11.3,34.2,20% kerosene
0.239,-9.76,11.5,31.2,20% turpentine
0.2469,-10.86,11.8,32.4,20% turpentine
0.2062,-12.28,13,35.5,15% turpentine
0.193,-13.92,15,38.3,15% kerosene
0.1265,-17.19,22.5,45.7,5% kerosene
0.138,-17.76,20.2,44.2,5% turpentine
0.2483,-10.11,11.2,32.2,20% turpentine
0.2376,-10.85,12,33.3,20% turpentine
0.1084,-20.48,26.2,49.3,pure
0.1614,-15.19,17.3,42,10% kerosene
0.1406,-18.11,22.2,44,5% turpentine
0.2185,-11.32,11.2,35.4,20% kerosene
0.2281,-11.47,13.6,35.1,20% kerosene
0.1352,-18.39,21.2,44,5% turpentine
0.2123,-12.36,14.3,35.2,15% turpentine
0.1987,-13.46,15.7,39.3,15% kerosene
0.1393,-17.85,22.9,44.9,5% kerosene
0.2281,-10.6,12.8,35.3,20% kerosene
0.1002,-20.68,29.1,48.9,pure
0.1015,-20.51,28.2,49.6,pure
0.1337,-18.93,22.4,45.1,5% kerosene
0.1378,-17.59,22.4,44.2,5% kerosene
0.1638,-15.51,18.3,41.3,10% kerosene
0.2442,-10.72,11.1,33.4,20% turpentine
0.1068,-21.91,28,47.9,pure
0.2368,-10.39,12.5,32.2,20% turpentine
0.2203,-11.07,11.9,34.5,20% kerosene
0.2213,-10.39,11.7,34.2,20% kerosene
0.1413,-17.54,21.2,43.5,5% turpentine
0.1877,-12.64,15.8,38.8,15% kerosene
0.2064,-11.92,14.4,37,15% turpentine
0.1349,-18.67,21.2,45.3,5% kerosene
0.1384,-17.69,21.8,44.2,5% turpentine
0.178,-15.23,17.4,40.7,10% turpentine
0.2283,-10.58,11.7,34,20% kerosene
0.2213,-10.16,13.5,34.7,20% kerosene
0.0968,-20.33,26.6,48,pure
0.136,-17.39,21.8,44.4,5% kerosene
0.2373,-10.51,12.2,32.4,20% turpentine
0.2292,-11.44,13.1,35.9,20% kerosene
0.2091,-11.85,13.3,36,15% turpentine
0.18,-15.43,18,39.8,10% turpentine
0.0956,-20.73,26.6,48.8,pure
0.1362,-18.17,22,43.2,5% turpentine
0.1384,-17.74,23.4,45,5% kerosene
0.1878,-13.57,14.5,39.8,15% kerosene
0.2402,-9.84,12,31.6,20% turpentine
0.1391,-18.23,23.9,45.8,5% kerosene
0.1568,-15.7,19.2,42.2,10% kerosene
0.2029,-12.51,13.5,35.7,15% turpentine
0.1254,-17.07,23.5,45.4,5% kerosene
0.2479,-9.73,12.8,31.8,20% turpentine
0.2214,-11.47,11.8,35.1,20% kerosene
0.2012,-12.4,13.3,36.4,15% turpentine
0.1881,-12.65,14.6,38.4,15% kerosene
0.1304,-18.41,23.4,45.6,5% kerosene
0.2117,-12.31,13.1,37,15% turpentine
0.1104,-21.85,26.8,47.8,pure
0.1499,-18.24,21.2,44.5,5% turpentine
0.0996,-21.15,29.1,49.7,pure
0.24,-10.96,10.1,33.5,20% turpentine
0.1467,-18.44,21.4,43.2,5% turpentine
0.2235,-10.79,13,35.9,20% kerosene
0.2446,-10.37,11.9,33.4,20% turpentine
0.1306,-17.45,22,45.9,5% kerosene
0.1628,-15.46,18.6,42.7,10% kerosene
0.1337,-18.01,21.6,45.4,5% kerosene
0.1445,-18.11,21.9,44.1,5% turpentine
0.1778,-14.76,16.5,40.7,10% turpentine
0.1258,-17.94,22.6,45.3,5% kerosene
0.1659,-14.1,16.7,39.2,10% turpentine
0.1865,-13.77,14.7,38.3,15% kerosene
0.1638,-16.84,19.9,43,10% kerosene
0.1609,-15.76,19.6,42.9,10% kerosene
0.209,-12.23,14.8,36,15% turpentine
0.1684,-15.39,17.2,40.3,10% turpentine
0.1342,-17.02,21.4,45,5% kerosene
0.2426,-9.74,12.2,32.6,20% turpentine
0.1672,-15.11,20,42.5,10% kerosene
0.1012,-21.35,28.6,49.1,pure
0.0981,-21.69,25.3,49.7,pure
0.1011,-20.95,27.2,48.2,pure
0.236,-10.22,10.5,33.2,20% turpentine
0.1429,-17.4,20.2,43.1,5% turpentine
0.139,-17.61,22.7,44.2,5% kerosene
0.1741,-14.35,17.6,40.4,10% turpentine
0.1919,-12.58,14.5,39.2,15% kerosene
0.1363,-17.39,24,44.8,5% kerosene
0.1006,-20.91,25.7,49.5,pure
0.186,-12.52,15,39.6,15% kerosene
0.2381,-10.82,11.8,33.3,20% turpentine
0.1862,-13.21,15.2,40,15% kerosene
0.0958,-20.82,28.4,47.5,pure
0.0996,-21.85,26.4,47.9,pure
0.169,-15.41,17.1,40.9,10% turpentine
0.2144,-12.27,14.6,36.1,15% turpentine
0.1391,-17.09,23.7,44.7,5% kerosene
0.2466,-10.02,10.5,32.6,20% turpentine
0.1332,-17.57,23,44.6,5% kerosene
0.1455,-17.48,21.9,44.5,5% turpentine
0.1324,-18.05,21.5,44.9,5% kerosene
0.1456,-17.19,22.1,44.6,5% turpentine
0.177,-14.69,16.6,40.2,10% turpentine
0.2021,-12.82,13.6,35.2,15% turpentine
0.1694,-16.25,17.9,42.7,10% kerosene
0.2009,-11.96,15,35.5,15% turpentine
0.1553,-16.36,17.6,41.7,10% kerosene
0.2035,-12.41,14.2,36,15% turpentine
0.2083,-12.54,13.8,35.9,15% turpentine
0.1787,-15.18,17.2,40.3,10% turpentine
0.1717,-14.73,16.7,40.2,10% turpentine
0.1773,-15.32,17.1,39,10% turpentine
0.2035,-12.19,14.8,36.3,15% turpentine
0.1362,-17.48,22,43.5,5% turpentine
0.1979,-12.58,15.1,38.5,15% kerosene
0.131,-17.77,22.9,44.1,5% kerosene
0.1639,-16.24,19.9,42.7,10% kerosene
0.138,-17.17,22.5,45,5% kerosene
0.1393,-17.52,22.7,45.2,5% kerosene
0.2104,-12.91,14,37,15% turpentine
0.1368,-18.31,22.1,43.9,5% turpentine
0.1593,-16.27,18.9,42.1,10% kerosene
0.2399,-10.78,10.9,33.6,20% turpentine
0.1603,-15.82,18.2,41.9,10% kerosene
0.1757,-15.09,16.8,39.2,10% turpentine
0.1728,-14.78,16.1,39.7,10% turpentine
0.1644,-16.84,19.6,42.8,10% kerosene
0.2436,-10.12,10.6,32.1,20% turpentine
0.1926,-13.08,14.1,39.7,15% kerosene
0.1686,-16.3,18.5,42.6,10% kerosene
0.1569,-16.7,17.4,42.3,10% kerosene
0.1918,-13.83,17,39.7,15% kerosene
0.2187,-10.27,13.4,35.4,20% kerosene
0.163,-16.52,17.8,41.8,10% kerosene
0.2019,-12.84,14.4,36.2,15% turpentine
0.1653,-16.67,19.7,42.6,10% kerosene
0.2406,-10.41,11.4,33.4,20% turpentine
0.1041,-20.43,26,48.8,pure
0.2149,-11.72,13.4,36.9,15% turpentine
0.1888,-12.98,16.3,39.2,15% kerosene
0.1954,-13.19,14.8,38.7,15% kerosene
0.1123,-20.75,26.7,47.7,pure
0.1792,-14.48,17,40.2,10% turpentine
0.2288,-11.29,13.9,34.9,20% kerosene
0.1798,-15.44,17.7,40.2,10% turpentine
0.2498,-9.59,10.1,31.5,20% turpentine
0.1259,-17.9,22.3,45.8,5% kerosene
0.195,-13.22,15.1,39.8,15% kerosene
0.2189,-10.93,12.8,34.5,20% kerosene
0.1464,-18.46,20.1,43.6,5% turpentine
0.1432,-17.27,21.4,44.3,5% turpentine
0.1052,-21.55,28.2,47.9,pure
0.2468,-10.22,11.3,31.4,20% turpentine
0.1939,-13.4,14.2,38.7,15% kerosene
0.191,-13.16,14.5,38.4,15% kerosene
0.2369,-10.49,12.8,31.7,20% turpentine
0.247,-10.69,11.7,33.2,20% turpentine
0.2041,-12.88,13.2,36.8,15% turpentine
0.1689,-14.81,17.7,40.5,10% turpentine
0.2111,-11.71,13.4,35.2,15% turpentine
0.1561,-15.89,19.9,42,10% kerosene
0.2208,-10.48,11.7,35.9,20% kerosene
0.2447,-10.2,10.1,33.9,20% turpentine
0.2002,-12.64,15,36.6,15% turpentine
0.1668,-16,17.3,42.1,10% kerosene
0.2053,-12.64,14.6,35.5,15% turpentine
0.1957,-13.01,14.1,38.4,15% kerosene
0.176,-15.3,17.4,40.8,10% turpentine
0.2483,-10.03,10.9,33.4,20% turpentine
0.1369,-17.42,21.3,45,5% kerosene
0.2453,-9.69,11.9,33.3,20% turpentine
0.2015,-12.32,14.5,35.7,15% turpentine
0.2039,-12.46,13.2,36.9,15% turpentine
0.1925,-13.11,14.2,39.5,15% kerosene
0.1142,-21.5,27.5,48.3,pure
0.1568,-16.08,17.6,41.7,10% kerosene
0.1252,-18.77,21.1,44.1,5% kerosene
0.1111,-20.21,26.6,47.8,pure
0.129,-18.51,23.9,44.8,5% kerosene
0.1986,-13.06,14.4,39.9,15% kerosene
0.178,-14.64,16.1,40.9,10% turpentine
0.139,-17.3,20.9,43.9,5% turpentine
0.1926,-13.64,14.3,39.2,15% kerosene
0.1936,-12.74,14.4,39.6,15% kerosene
0.1365,-17.09,22.1,43.1,5% turpentine
0.1355,-17.1,20.2,44.1,5% turpentine
0.1379,-18.14,23.3,45.5,5% kerosene
0.1488,-17.58,22.4,44,5% turpentine
0.1364,-17.18,20.8,43.3,5% turpentine
0.169,-15.27,17.1,41.1,10% kerosene
0.213,-11.79,14.6,35.6,15% turpentine
0.1467,-18.34,22.3,44.1,5% turpentine
0.228,-10.77,13.7,35.6,20% kerosene
0.1655,-15.93,17.9,42.6,10% kerosene
0.2201,-10.41,11.2,34.6,20% kerosene
0.1254,-17.83,23.8,45.2,5% kerosene
0.137,-17.7,23.1,45.6,5% kerosene
0.1697,-14.74,16.1,39.3,10% turpentine
0.2231,-10.31,12,35.3,20% kerosene
0.1855,-13.15,16.3,39.8,15% kerosene
0.1373,-18.28,21.4,45,5% kerosene
0.2149,-12.01,14.1,36.5,15% turpentine
0.113,-20.73,26.7,48.4,pure
0.237,-9.91,12.5,31.6,20% turpentine
0.2052,-11.54,14.3,36.6,15% turpentine
