frequency_shift,S11_magnitude,Q_factor,phase_shift,label
0.2346,-10.28,12.9,34.1,20% kerosene
0.1511,-14.29,13.8,39.9,15% kerosene
0.1055,-19.92,23.8,46.2,pure
0.2499,-9.51,12.7,34.5,20% turpentine
0.2055,-13.82,18.5,38.7,10% turpentine
0.1292,-17.42,22.4,44.2,5% kerosene
0.2139,-10.73,14.0,35.8,20% kerosene
0.2499,-10.0,10.8,32.0,20% turpentine
0.1685,-15.2,15.2,40.5,15% kerosene
0.1335,-20.49,26.5,49.2,pure
0.1548,-15.63,17.5,43.6,10% kerosene
0.1567,-17.88,22.3,41.5,5% turpentine
0.2215,-9.51,11.2,33.4,20% turpentine
0.2157,-10.24,14.8,34.6,20% kerosene
0.2402,-10.2,13.0,35.2,20% kerosene
0.1013,-21.98,27.9,49.0,pure
0.0951,-20.76,26.3,47.5,pure
0.1533,-14.88,19.1,43.4,10% turpentine
0.1234,-12.84,14.4,39.0,15% kerosene
0.2149,-9.95,14.7,35.6,15% turpentine
0.2379,-9.51,12.6,33.0,20% turpentine
0.0951,-21.59,29.9,49.9,pure
0.1616,-13.64,17.6,42.1,10% kerosene
0.1197,-20.51,28.5,49.2,pure
0.1974,-14.77,17.4,41.5,10% turpentine
0.2001,-15.01,18.3,44.1,10% kerosene
0.1678,-14.96,16.2,39.2,15% kerosene
0.1029,-20.84,28.8,48.7,pure
0.2249,-10.93,16.6,33.9,20% kerosene
0.2212,-10.54,13.6,32.5,20% kerosene
0.1664,-16.88,22.9,43.2,5% kerosene
0.1513,-12.32,13.7,39.8,15% kerosene
0.1543,-13.87,18.3,39.5,10% turpentine
0.1631,-14.93,22.8,44.5,10% kerosene
0.0985,-20.06,29.2,47.8,pure
0.2239,-9.92,13.8,36.4,20% kerosene
0.2213,-10.77,15.0,32.8,20% kerosene
0.1598,-15.43,17.6,40.4,10% turpentine
0.1149,-19.5,29.2,47.9,pure
0.2499,-9.79,11.8,33.0,20% turpentine
0.1693,-18.09,22.6,44.5,5% turpentine
0.1247,-17.81,23.4,44.2,5% kerosene
0.2499,-9.51,13.5,32.3,20% turpentine
0.0951,-21.59,28.0,46.3,pure
0.2473,-10.38,12.3,33.4,20% turpentine
0.2499,-10.01,13.9,32.4,20% turpentine
0.2499,-9.51,13.9,33.0,20% turpentine
0.1584,-17.56,23.0,45.1,5% turpentine
0.0951,-20.09,27.7,49.2,pure
0.1838,-12.74,18.5,39.1,10% turpentine
0.1784,-18.23,17.4,43.3,10% kerosene
0.1628,-14.61,22.3,43.3,10% kerosene
0.15,-18.15,23.2,44.3,5% turpentine
0.2115,-17.16,22.0,44.6,10% kerosene
0.1562,-17.17,22.6,45.4,5% kerosene
0.2312,-11.36,12.6,36.3,15% turpentine
0.1039,-21.08,29.9,47.8,pure
0.1746,-12.88,15.8,43.8,10% kerosene
0.1521,-17.42,22.4,45.1,5% turpentine
0.2032,-15.42,17.9,42.5,10% kerosene
0.194,-15.25,18.7,43.0,10% kerosene
0.1621,-14.14,18.9,40.4,10% turpentine
0.1563,-17.31,22.5,44.1,5% turpentine
0.1693,-13.12,14.1,40.0,15% kerosene
0.1073,-20.34,24.9,46.3,pure
0.1758,-14.78,16.4,47.4,10% kerosene
0.2499,-10.03,13.4,32.4,20% turpentine
0.2436,-9.51,14.0,34.7,20% turpentine
0.2046,-10.23,12.3,34.2,15% turpentine
0.1621,-13.99,17.7,39.5,15% kerosene
0.1743,-14.34,15.8,40.2,15% kerosene
0.1962,-17.04,24.1,45.4,5% kerosene
0.2342,-12.45,11.8,34.0,20% kerosene
0.0951,-20.92,25.2,47.5,pure
0.178,-14.72,18.1,42.7,10% kerosene
0.1608,-13.52,18.6,46.3,10% kerosene
0.2313,-10.87,12.6,35.6,20% kerosene
0.129,-18.05,22.1,44.3,5% kerosene
0.2405,-10.13,14.3,32.4,20% turpentine
0.1882,-14.02,17.1,45.2,10% kerosene
0.2409,-10.52,11.1,31.0,20% turpentine
0.2285,-10.38,14.5,35.5,15% turpentine
0.1369,-16.65,23.0,45.5,5% kerosene
0.1722,-14.84,17.5,42.3,10% kerosene
0.2056,-10.42,15.2,36.0,15% turpentine
0.1961,-10.17,13.7,33.1,20% kerosene
0.2484,-9.51,11.9,32.9,20% turpentine
0.1607,-17.13,21.9,45.4,5% turpentine
0.2077,-10.24,13.9,34.9,20% kerosene
0.1042,-19.29,24.6,47.4,pure
0.212,-10.75,14.6,37.8,15% turpentine
0.1419,-17.85,23.5,42.8,5% kerosene
0.2412,-10.46,12.4,32.6,20% turpentine
0.135,-14.81,14.7,39.2,15% kerosene
0.2429,-10.83,15.0,35.6,20% kerosene
0.169,-14.0,16.5,42.9,10% kerosene
0.0951,-20.42,26.9,46.9,pure
0.1681,-13.93,18.1,40.4,10% turpentine
0.2167,-9.51,14.2,40.9,15% turpentine
0.16,-15.2,15.1,38.9,15% kerosene
0.1567,-17.39,20.7,44.7,5% turpentine
0.1559,-16.77,29.7,44.7,5% kerosene
0.246,-10.8,13.4,33.7,20% turpentine
0.123,-17.98,22.7,42.6,5% turpentine
0.135,-18.27,22.0,44.8,5% turpentine
0.2078,-13.37,19.4,39.6,10% turpentine
0.2407,-9.95,12.7,36.3,20% kerosene
0.1852,-14.77,17.6,40.9,10% turpentine
0.2278,-10.7,15.2,35.6,15% turpentine
0.2055,-15.38,18.0,45.4,10% kerosene
0.1755,-15.25,16.6,44.1,10% kerosene
0.2351,-9.51,12.6,31.6,20% turpentine
0.1543,-15.55,19.9,40.4,10% turpentine
0.2499,-10.39,12.5,32.9,20% turpentine
0.16,-15.12,17.8,39.8,10% turpentine
0.0951,-20.41,29.1,46.4,pure
0.1781,-14.0,13.5,39.6,15% kerosene
0.1306,-17.2,22.4,45.4,5% kerosene
0.2031,-10.73,11.7,33.2,20% kerosene
0.0951,-20.54,29.5,48.2,pure
0.2226,-10.03,12.8,34.4,20% kerosene
0.1858,-14.42,17.4,44.4,10% kerosene
0.1586,-13.36,18.1,39.8,10% turpentine
0.2499,-10.28,12.1,36.6,20% kerosene
0.0951,-20.66,27.4,49.9,pure
0.218,-10.61,15.0,35.4,15% turpentine
0.1697,-20.74,17.4,39.1,10% turpentine
0.1453,-14.13,18.0,44.6,10% kerosene
0.2219,-9.73,15.6,35.9,15% turpentine
0.166,-13.22,14.3,39.3,15% kerosene
0.1707,-14.0,14.2,40.5,15% kerosene
0.1441,-18.34,23.0,43.7,5% turpentine
0.226,-10.67,12.6,36.0,20% kerosene
0.2308,-9.86,12.0,32.1,20% turpentine
0.145,-17.94,23.3,43.2,5% turpentine
0.1612,-18.33,22.7,44.5,5% turpentine
0.194,-14.08,16.7,43.5,10% kerosene
0.2499,-10.59,12.9,33.0,20% turpentine
0.0951,-19.62,27.1,46.5,pure
0.2256,-12.35,11.9,35.1,20% kerosene
0.2499,-9.51,12.7,31.0,20% turpentine
0.1507,-16.84,23.2,43.3,5% turpentine
0.2103,-9.8,15.9,36.7,15% turpentine
0.2235,-9.51,10.8,31.9,20% turpentine
0.144,-14.39,18.8,38.6,10% turpentine
0.1788,-21.48,27.0,47.8,pure
0.2028,-15.36,15.5,39.3,10% turpentine
0.1306,-16.68,24.0,45.7,5% kerosene
0.0951,-21.98,27.0,49.9,pure
0.1685,-12.24,17.3,40.1,10% turpentine
0.1568,-14.97,18.2,38.0,15% kerosene
0.1658,-13.07,18.9,39.9,10% turpentine
0.2307,-11.11,13.2,34.0,20% kerosene
0.0951,-19.46,27.8,47.1,pure
0.1587,-14.02,17.3,42.4,10% kerosene
0.0997,-14.73,22.6,45.0,5% kerosene
0.1791,-12.76,16.9,42.8,10% kerosene
0.1619,-14.07,16.4,40.5,10% turpentine
0.1451,-17.32,22.0,43.8,5% turpentine
0.1513,-16.05,22.8,41.5,5% turpentine
0.1414,-13.77,17.9,38.7,10% turpentine
0.1649,-17.72,21.8,43.6,5% turpentine
0.136,-17.43,21.7,44.7,5% kerosene
0.1547,-14.3,18.4,40.6,10% turpentine
0.188,-13.45,19.6,39.3,15% kerosene
0.2275,-10.92,14.6,38.0,15% turpentine
0.2173,-10.53,10.8,33.5,20% kerosene
0.2089,-10.72,11.5,34.3,20% kerosene
0.1734,-14.07,15.4,39.4,15% kerosene
0.161,-14.36,17.8,38.9,10% turpentine
0.2094,-13.95,22.6,44.1,10% kerosene
0.0951,-20.51,29.9,48.3,pure
0.1656,-16.6,22.9,45.2,5% kerosene
0.2478,-9.51,14.3,31.9,20% turpentine
0.1492,-17.83,23.2,44.2,5% kerosene
0.2232,-13.54,18.4,41.4,10% kerosene
0.1728,-13.71,16.9,40.1,10% kerosene
0.1608,-12.64,14.6,40.7,15% kerosene
0.248,-9.68,12.6,32.4,20% turpentine
0.1935,-14.09,18.8,44.1,10% kerosene
0.1834,-13.88,15.8,43.7,10% kerosene
0.2078,-9.51,14.6,33.1,20% kerosene
0.2475,-9.78,11.4,33.2,20% turpentine
0.2298,-10.68,13.2,34.7,20% kerosene
0.2233,-9.99,14.4,33.6,20% kerosene
0.152,-18.14,21.0,43.9,5% turpentine
0.2309,-9.97,10.6,34.6,20% kerosene
0.1023,-18.06,22.1,42.7,5% turpentine
0.2316,-13.06,17.3,39.7,15% kerosene
0.2314,-9.55,11.2,34.6,20% kerosene
0.2499,-9.96,12.6,31.0,20% turpentine
0.1364,-17.45,22.4,44.1,5% kerosene
0.2434,-9.68,11.2,33.5,20% turpentine
0.1626,-13.7,16.4,43.6,10% kerosene
0.1494,-13.62,19.2,39.3,10% turpentine
0.1541,-13.34,17.2,42.5,10% kerosene
0.2499,-9.51,12.4,32.7,20% turpentine
0.1428,-18.25,23.2,44.2,5% turpentine
0.1714,-17.49,22.5,47.4,5% kerosene
0.2155,-10.74,12.7,36.6,20% kerosene
0.1743,-10.07,15.2,33.7,20% kerosene
0.1855,-12.72,19.5,39.2,10% turpentine
0.2483,-9.51,12.2,32.3,20% turpentine
0.2192,-10.21,12.4,36.6,15% turpentine
0.1517,-13.29,18.4,43.9,10% kerosene
0.1745,-14.24,18.5,38.9,10% kerosene
0.179,-14.08,21.7,40.8,10% kerosene
0.0951,-20.96,28.0,49.2,pure
0.0951,-20.48,28.5,48.7,pure
0.1663,-18.43,23.6,44.5,5% turpentine
0.1706,-13.68,14.9,39.6,15% kerosene
0.1284,-17.7,23.4,44.7,5% kerosene
0.2049,-14.91,18.3,40.9,10% turpentine
0.185,-13.42,18.0,39.9,10% turpentine
0.1007,-20.44,27.6,49.0,pure
0.2129,-10.23,14.4,37.9,15% turpentine
0.1525,-17.43,23.2,43.9,5% turpentine
0.0951,-20.34,27.6,47.6,pure
0.231,-10.92,11.8,32.8,20% turpentine
0.1385,-16.87,22.4,43.2,5% turpentine
0.133,-19.79,22.4,46.3,5% kerosene
0.106,-20.23,23.9,46.7,pure
0.2299,-11.12,16.4,37.4,15% turpentine
0.0951,-20.88,28.7,47.4,pure
0.1086,-16.88,22.2,44.6,5% kerosene
0.1788,-14.16,17.8,43.2,10% kerosene
0.1923,-14.92,17.8,40.7,10% turpentine
0.1686,-14.53,15.3,39.9,10% turpentine
0.2181,-11.32,13.5,35.6,15% turpentine
0.1299,-20.6,27.2,48.6,pure
0.2409,-10.23,12.2,33.0,20% turpentine
0.1497,-15.49,18.5,40.9,10% turpentine
0.0951,-20.81,26.6,46.3,pure
0.1601,-13.92,18.5,40.2,10% turpentine
0.2033,-9.85,12.4,36.8,15% turpentine
0.2004,-11.22,15.1,36.4,15% turpentine
0.162,-17.25,22.6,43.7,5% turpentine
0.1121,-17.31,20.7,43.6,5% turpentine
0.1751,-16.73,20.8,43.6,5% turpentine
0.2083,-11.24,14.7,36.8,15% turpentine
0.1228,-16.94,21.4,44.1,5% kerosene
0.1487,-12.23,13.9,41.1,15% kerosene
0.1616,-12.62,22.8,41.1,10% turpentine
0.1772,-13.37,14.0,39.1,15% kerosene
0.2278,-9.94,14.5,34.9,15% turpentine
0.1556,-14.57,14.5,39.7,15% kerosene
0.212,-11.6,15.6,37.7,15% turpentine
0.1967,-14.07,19.9,39.6,10% turpentine
0.1491,-17.68,21.5,45.5,5% kerosene
0.1726,-13.1,13.9,40.3,15% kerosene
0.1587,-14.9,15.2,42.8,10% kerosene
0.1672,-13.15,13.7,43.6,15% kerosene
0.2411,-9.95,13.4,33.8,20% turpentine
0.2348,-10.64,14.0,34.3,20% kerosene
0.1719,-17.25,23.5,43.0,5% turpentine
0.2298,-10.02,11.6,33.9,20% turpentine
0.1175,-16.99,22.2,45.2,5% kerosene
0.1518,-14.92,18.7,40.9,10% turpentine
0.1752,-16.24,21.2,44.6,5% kerosene
0.2243,-14.12,18.7,39.8,10% turpentine
0.1616,-18.15,23.8,44.0,5% turpentine
0.1605,-17.38,23.4,44.2,5% turpentine
0.2123,-11.57,12.6,34.6,15% turpentine
0.1244,-17.49,23.0,45.5,5% kerosene
0.151,-17.77,23.2,45.9,5% kerosene
0.211,-11.3,15.2,37.0,15% turpentine
0.2373,-13.44,14.7,39.8,15% kerosene
0.1438,-17.21,22.8,44.7,5% kerosene
0.156,-17.22,23.9,43.5,5% turpentine
0.2037,-11.26,15.9,38.1,15% turpentine
0.1445,-17.56,21.1,41.2,5% turpentine
0.1141,-20.78,29.4,47.8,pure
0.1824,-13.18,18.3,39.6,10% turpentine
0.1408,-12.38,17.3,41.6,10% kerosene
0.1243,-17.9,21.7,40.5,5% turpentine
0.2167,-11.35,15.2,33.4,15% turpentine
0.2069,-10.87,14.5,35.0,15% turpentine
0.0951,-19.11,27.8,49.5,pure
0.0986,-21.89,29.8,49.9,pure
0.1778,-12.91,14.8,40.4,15% kerosene
0.1198,-20.18,28.2,48.3,pure
0.1405,-16.78,21.5,44.0,5% kerosene
0.229,-11.57,14.7,36.5,15% turpentine
0.1963,-14.77,22.9,39.5,10% kerosene
0.1702,-13.39,13.9,39.9,15% kerosene
0.1834,-15.61,13.3,40.0,15% kerosene
0.1613,-14.43,15.7,44.0,10% kerosene
0.1067,-19.52,29.6,49.9,pure
0.2256,-10.01,13.1,33.8,20% kerosene
0.1822,-14.01,18.4,42.9,10% kerosene
0.2061,-11.2,14.0,33.4,20% kerosene
0.2363,-9.51,12.8,31.4,20% turpentine
0.2209,-14.99,14.7,40.1,15% kerosene
0.1933,-13.49,18.7,40.8,10% turpentine
0.2393,-13.6,15.9,39.3,15% kerosene
0.2283,-10.2,14.9,34.3,20% kerosene
0.142,-12.51,13.8,39.4,10% turpentine
0.0951,-20.47,28.7,46.8,pure
0.1307,-17.61,22.8,43.1,5% turpentine
0.1653,-16.7,24.0,44.9,5% kerosene
0.2472,-9.51,13.2,31.8,20% turpentine
0.2499,-9.51,12.8,33.2,20% turpentine
0.1922,-14.04,15.4,39.7,15% kerosene
0.1752,-14.92,16.6,44.4,10% kerosene
0.1244,-17.24,23.7,43.7,5% kerosene
0.237,-10.35,11.6,31.0,20% turpentine
0.129,-17.18,22.5,44.2,5% turpentine
0.2073,-14.77,18.7,39.4,10% turpentine
0.1576,-14.67,17.3,39.9,10% turpentine
0.1613,-14.13,14.3,40.7,10% turpentine
0.1386,-17.63,24.2,46.4,5% kerosene
0.1678,-10.0,12.2,34.0,20% kerosene
0.1625,-12.83,21.6,38.9,15% kerosene
0.1816,-13.33,15.2,38.9,15% kerosene
0.1447,-13.16,18.5,40.2,10% turpentine
0.2337,-10.93,15.4,34.0,15% turpentine
0.2332,-9.51,11.1,32.2,20% turpentine
0.2443,-9.51,12.2,31.4,20% turpentine
0.1488,-13.01,17.6,42.6,10% kerosene
0.2139,-10.45,12.9,33.6,20% kerosene
0.2384,-9.53,12.9,35.7,20% kerosene
0.2471,-14.4,16.9,41.2,15% kerosene
0.0951,-21.98,29.0,48.6,pure
0.1233,-18.11,20.6,41.8,5% turpentine
0.2298,-10.47,13.9,33.0,20% kerosene
0.0951,-21.02,29.2,48.2,pure
0.1325,-17.09,21.0,44.7,5% turpentine
0.1432,-14.11,22.9,38.5,15% kerosene
0.2313,-10.37,14.0,34.6,20% kerosene
0.2477,-9.63,11.2,32.0,20% turpentine
0.2486,-10.22,11.9,34.0,20% turpentine
0.2499,-9.84,12.6,32.9,20% turpentine
0.2016,-9.74,12.0,33.5,20% kerosene
0.1987,-13.99,18.0,39.1,10% turpentine
0.1694,-16.93,21.3,43.2,5% turpentine
0.1757,-17.34,23.2,43.5,5% kerosene
0.1344,-14.89,18.9,40.1,10% turpentine
0.2075,-10.19,15.3,37.6,15% turpentine
0.2278,-17.28,16.4,44.0,15% kerosene
0.1694,-16.73,22.6,44.2,5% kerosene
0.2306,-10.15,13.9,32.9,20% kerosene
0.1426,-17.68,23.4,43.1,5% turpentine
0.1411,-17.34,22.5,45.1,5% kerosene
0.2293,-9.51,14.3,31.3,20% turpentine
0.0951,-20.21,28.9,47.6,pure
0.1245,-17.48,20.8,44.3,5% kerosene
0.2196,-11.49,12.3,34.2,20% kerosene
0.152,-17.79,21.9,42.1,5% turpentine
0.2333,-12.42,12.2,36.0,15% turpentine
0.1798,-13.07,17.8,39.4,15% kerosene
0.1478,-12.92,17.3,41.5,10% kerosene
0.1337,-17.75,21.8,42.8,5% turpentine
0.2301,-11.74,11.9,35.4,20% kerosene
0.2321,-11.09,13.8,33.2,20% kerosene
0.1416,-9.81,11.8,35.3,15% turpentine
0.2278,-10.52,15.0,36.9,15% turpentine
0.1416,-18.0,22.5,42.5,5% turpentine
0.1543,-13.49,20.2,42.1,10% turpentine
0.1535,-17.53,23.4,43.3,5% kerosene
0.2476,-9.51,12.1,33.0,20% turpentine
0.165,-14.63,22.8,39.7,15% kerosene
0.1293,-17.79,23.2,43.6,5% turpentine
0.2328,-9.72,11.2,31.0,20% turpentine
0.1396,-17.27,22.6,43.4,5% kerosene
0.2126,-11.43,15.4,35.0,15% turpentine
0.2278,-9.78,13.0,33.2,20% turpentine
0.1877,-15.04,18.7,41.4,10% turpentine
0.2143,-11.49,13.9,37.1,15% turpentine
0.2325,-9.92,13.1,34.5,20% kerosene
0.1508,-17.56,21.6,42.7,5% turpentine
0.1753,-18.46,22.2,44.9,5% turpentine
0.2335,-11.07,14.4,33.3,15% turpentine
0.2499,-9.51,15.0,32.6,20% turpentine
0.1634,-17.74,21.0,43.2,5% turpentine
0.1003,-16.96,23.4,46.4,5% kerosene
0.0969,-21.29,26.6,49.9,pure
0.1814,-15.18,16.1,39.0,10% turpentine
0.2218,-10.22,13.0,34.0,20% kerosene
0.1405,-16.58,23.0,43.2,5% turpentine
0.2117,-10.93,14.1,35.1,20% kerosene
0.2338,-10.38,13.0,35.5,20% kerosene
0.2181,-10.44,14.2,35.9,15% turpentine
0.177,-14.71,17.4,40.3,10% turpentine
0.1597,-17.71,23.4,42.9,5% turpentine
0.2117,-10.0,12.8,33.6,20% kerosene
0.1413,-17.77,24.0,42.9,5% turpentine
0.2122,-10.01,14.5,33.9,20% kerosene
0.2449,-10.68,13.5,35.9,20% kerosene
0.1622,-13.45,19.9,40.7,10% turpentine
0.1348,-17.76,22.4,43.8,5% turpentine
0.1366,-18.13,23.2,44.0,5% kerosene
0.2499,-9.51,12.7,33.6,20% turpentine
0.2464,-9.7,11.7,32.3,20% turpentine
0.2101,-10.7,15.0,36.6,15% turpentine
0.0951,-20.95,29.9,48.6,pure
0.1714,-17.23,20.3,42.1,5% turpentine
0.1257,-17.51,23.1,44.7,5% kerosene
0.1963,-13.66,14.7,39.7,15% kerosene
0.2499,-9.51,12.0,31.0,20% turpentine
0.2339,-9.81,13.8,36.0,20% kerosene
0.2105,-14.83,15.0,40.0,15% kerosene
0.13,-17.43,22.3,44.0,5% turpentine
0.2174,-9.79,12.5,35.7,15% turpentine
0.2355,-9.55,12.3,31.0,20% turpentine
0.2359,-9.51,13.3,31.7,20% turpentine
0.2257,-9.55,13.7,34.8,20% turpentine
0.1371,-17.38,21.8,43.0,5% turpentine
0.2351,-11.28,10.7,32.8,20% turpentine
0.1607,-14.13,19.2,39.6,10% turpentine
0.2292,-9.51,11.0,32.6,20% turpentine
0.2242,-13.82,13.8,40.1,15% kerosene
0.1582,-13.69,19.0,40.2,10% turpentine
0.2068,-10.62,15.2,35.7,15% turpentine
0.2245,-10.63,14.0,35.2,20% kerosene
0.2289,-10.79,15.1,32.6,15% turpentine
0.0951,-19.47,26.9,47.8,pure
0.2361,-10.23,13.0,31.5,20% turpentine
0.2492,-9.66,11.6,32.7,20% turpentine
0.0951,-21.19,28.7,45.8,pure
0.1974,-14.32,19.0,40.5,10% turpentine
0.0951,-19.93,27.0,47.5,pure
0.2055,-11.71,15.4,36.5,15% turpentine
0.2092,-14.3,17.3,44.0,10% kerosene
0.2418,-11.15,10.6,33.8,20% kerosene
0.1892,-14.63,18.7,39.4,10% turpentine
0.1238,-17.41,22.1,42.8,5% turpentine
0.2278,-11.29,13.0,36.4,15% turpentine
0.2499,-9.51,11.6,31.0,20% turpentine
0.1357,-17.24,23.2,44.2,5% turpentine
0.1757,-17.79,20.9,42.9,5% turpentine
0.2194,-10.17,14.1,34.8,20% kerosene
0.1484,-12.53,18.4,42.6,10% kerosene
0.1991,-15.09,16.6,42.1,10% kerosene
0.1904,-14.64,22.0,43.8,10% kerosene
0.1532,-17.15,22.8,43.9,5% kerosene
0.1196,-17.76,24.4,44.6,5% kerosene
0.2278,-10.31,13.9,33.7,20% kerosene
0.2106,-9.51,15.6,32.9,15% turpentine
0.226,-10.95,11.3,35.6,20% kerosene
0.1318,-15.03,19.8,39.9,10% turpentine
0.1609,-13.16,17.5,43.0,10% kerosene
0.2499,-10.33,12.2,32.1,20% turpentine
0.2163,-11.17,14.5,35.5,20% kerosene
0.2207,-14.74,17.5,39.2,15% kerosene
0.1552,-14.1,23.0,43.2,10% kerosene
0.2384,-10.9,15.5,33.4,20% kerosene
0.1718,-10.23,16.0,35.7,15% turpentine
0.2406,-9.51,12.3,31.1,20% turpentine
0.2282,-10.5,14.2,36.0,20% kerosene
0.2218,-10.78,14.7,34.5,15% turpentine
0.1444,-18.01,25.0,43.3,5% turpentine
0.0951,-20.54,27.6,49.2,pure
0.2056,-9.84,14.9,36.2,15% turpentine
0.1829,-13.99,15.6,39.2,15% kerosene
0.2318,-9.51,12.5,31.1,20% turpentine
0.1075,-20.74,23.8,47.5,pure
0.1465,-16.75,24.4,45.9,5% turpentine
0.1798,-13.3,19.5,43.5,10% kerosene
